row,baseline,continuous_z_controls,full_theta_dynamics
G_it,-0.037***,-0.027*,-0.034**
t-stat.,(-2.639),(-1.903),(-2.072)
G_it_x_theta_F_it,,-0.010***,-0.005
t-stat.,,(-3.530),(-0.872)
theta_F_it,,,-0.002
t-stat.,,,(-0.612)
Real GDP,7.852***,3.821**,3.467*
t-stat.,(5.133),(2.372),(1.895)
Real GDP growth,-0.320***,-0.342***,-0.349***
t-stat.,(-3.505),(-3.809),(-3.846)
CPI inflation,-0.166**,-0.169**,-0.169**
t-stat.,(-1.997),(-2.087),(-2.090)
Overall balance/GDP,-0.467***,-0.465***,-0.459***
t-stat.,(-5.837),(-5.695),(-5.574)
International reserves,0.021,0.011,0.010
t-stat.,(1.504),(0.843),(0.773)
Government effectiveness,-2.207**,-1.123,-1.070
t-stat.,(-2.323),(-1.136),(-1.065)
Regulatory quality,1.826**,0.094,0.077
t-stat.,(2.046),(0.100),(0.081)
Terms of trade,0.045***,0.035**,0.036**
t-stat.,(2.818),(2.336),(2.447)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.008,0.057,0.039
p(lambda1=0),,0.000,0.383
p(lambda2=0),,,0.541
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.425,0.448,0.448
